rid,fid,lid_1,graph_1,ori_graph_1,lid_2,graph_2,ori_graph_2,cat_1,ori_cat_1,cat_2,ori_cat_2,ori_cple,type_cstr_1,cstr_1,ori_cstr_1,type_cstr_2,cstr_2,ori_cstr_2,complexite,ori_complexite,orientation,ori_orientation,semty_1,ori_semty_1,semty_2,ori_semty_2,sous_semty_1,sous_semty_2,ori_sous_semty_1,ori_sous_semty_2,semtyrss_1,semtyrss_2,ori_semtyrss_1,ori_semtyrss_2,rel_sem_n_1,rel_sem_n_2,ori_relsem,def_conc,ori_def_conc,def_abs,ori_def_abs,commentaires,phon_aff_1,phon_aff_2,phon_stem_1,phon_stem_2,similarity,generalization_1,generalization_2,sim_phon_1,sim_phon_2,comparison,variation_type,generalization_1_mod,generalization_2_mod,sim_phon_1_mod,sim_phon_2_mod,labels_1,labels_2,cstr_1_mod,cstr_2_mod,phon_aff_1_mod,phon_aff_2_mod,orientation_mod
r219389,f131450,l200961,fractionner,tlfnome,l185926,effraction,tlfnome,V,tlfnome,Nf,tlfnome,verbaction,conv,X,nouveau,pre,?X,nouveau,accidentel,nouveau,indirect,demonette1,,,,,,,,,,,,,,,,,,,,,,e.,f?aksj?n;f?aksj?n;f?aksj?n;f?aksj?n;f?aksj?n;f?aksj?n;f?aksj?n;f?aksj?n;f?aksj?ne;f?aksj?n?;f?aksj?na;f?aksj?ne,f?aksj??;f?aksj??,"[0.875, 0.875, 0.875, 0.875, 0.875, 0.875, 0.875, 0.875, 0.8235294117647058, 0.8235294117647058, 0.8235294117647058, 0.8235294117647058, 0.875, 0.875, 0.875, 0.875, 0.875, 0.875, 0.875, 0.875, 0.8235294117647058, 0.8235294117647058, 0.8235294117647058, 0.8235294117647058]",Xn,X?,f?aksj?n,f?aksj??,  f;  ?;  a;  k;  s;  j;  ?;- n;+ ?,l?gitime,Xn,X?,f?aksj?n,f?aksj??,Vmii---:;Vmip3p-:;Vmip-s-:;Vmpp---:;Vmmp-s-:;Vmmp-p-:;Vmsp-s-:;Vmsp-p-:;Vmn----:;Vmif---:;Vmis---:;Vmps---:,Nf:,X,?X,,e.,indirect
r219458,f131450,l200961,fractionner,tlfnome,l185926,effraction,tlfnome,V,tlfnome,Nf,tlfnome,verbaction,conv,X,nouveau,pre,eX,nouveau,simple,nouveau,indirect,demonette1,,,,,,,,,,,,,,,,,,,,,,e.,f?aksj?n;f?aksj?n;f?aksj?n;f?aksj?n;f?aksj?n;f?aksj?n;f?aksj?n;f?aksj?n;f?aksj?ne;f?aksj?n?;f?aksj?na;f?aksj?ne,f?aksj??;f?aksj??,"[0.875, 0.875, 0.875, 0.875, 0.875, 0.875, 0.875, 0.875, 0.8235294117647058, 0.8235294117647058, 0.8235294117647058, 0.8235294117647058, 0.875, 0.875, 0.875, 0.875, 0.875, 0.875, 0.875, 0.875, 0.8235294117647058, 0.8235294117647058, 0.8235294117647058, 0.8235294117647058]",Xn,X?,f?aksj?n,f?aksj??,  f;  ?;  a;  k;  s;  j;  ?;- n;+ ?,l?gitime,Xn,X?,f?aksj?n,f?aksj??,Vmii---:;Vmip3p-:;Vmip-s-:;Vmpp---:;Vmmp-s-:;Vmmp-p-:;Vmsp-s-:;Vmsp-p-:;Vmn----:;Vmif---:;Vmis---:;Vmps---:,Nf:,X,eX,,e.,indirect
r200278,f139971,l200995,fragmentiste,dimoc,l200985,fragment,dimoc,Nm,dimoc,Nm,dimoc,dimoc,suf,Xiste,nouveau,,X,nouveau,simple,nouveau,des2as,nouveau,,,,,,,,,,,,,,,,,,,,,.ist,,f?agm’t,f?agm’;f?agm’,"[0.9230769230769231, 0.9230769230769231]",Xt,X,f?agm’t,f?agm’,  f;  ?;  a;  g;  m;  ’;- t,l?gitime,Xt,X,f?agm??t,f?agm??,Nm:,Nm:,Xiste,X,.ist,,des2as
r118892,f140002,l201052,fraiseraie,dimoc,l201061,fraisier,dimoc,Nf,dimoc,Nm,dimoc,dimoc,suf,Xaie,nouveau,,X,nouveau,simple,nouveau,des2as,nouveau,,,,,,,,,,,,,,,,,,,,,.?,,f??z?;f??z?,f?ezje;f?ezje,"[0.5454545454545454, 0.5454545454545454, 0.5454545454545454, 0.5454545454545454]",X?Y?,XeYje,f??z?,f?ezje,  f;  ?;- ?;+ e;  z;- ?;+ j;+ e,? neutraliser,X?,X,f?ez?,f?ez,Nf:,Nm:,Xaie,Xier,.?,.je,indirect
r187085,f140389,l201598,frange,dimoc,l201602,franger,nouveau,Nf,dimoc,Nm,nouveau,dimoc,,X,nouveau,suf,Xer,nouveau,simple,nouveau,as2des,nouveau,,,,,,,,,,,,,,,,,,,,,,.e,f?’?;f?’?,f????;f????,"[0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666]",X’Y,X??Y,f?’?,f????,  f;  ?;- ’;+ ?;+ ?;  ?,? neutraliser,X,X,f????,f????,Nf:,Nm:,X,X,,.e,as2des
r40439,f128838,l201725,frapper,tlfnome,l201712,frappage,tlfnome,V,tlfnome,Nm,tlfnome,morphonette,,X,nouveau,suf,Xage,nouveau,simple,demonette1,as2des,nouveau,,,,,,,,,,,,,,,,,,,,,,.a?,f??p;f??p;f??p;f??p;f??p;f??p;f??p;f??p;f??pe;f??p?;f??pa;f??pe,f?ap,"[0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666]",X?Y,XaY,f??p,f?ap,  f;  ?;- ?;+ a;  p,? neutraliser,X,X,f?ap,f?ap,Vmii---:;Vmip3p-:;Vmip-s-:;Vmpp---:;Vmmp-s-:;Vmmp-p-:;Vmsp-s-:;Vmsp-p-:;Vmn----:;Vmif---:;Vmis---:;Vmps---:,Nm:,X,Xage,,.a?,as2des
r40441,f128838,l201725,frapper,tlfnome,l201712,frappage,tlfnome,V,tlfnome,Nm,tlfnome,derif,,X,nouveau,suf,Xage,nouveau,simple,demonette1,as2des,nouveau,,,,,,,,,,,,,,,,,,,,,,.a?,f??p;f??p;f??p;f??p;f??p;f??p;f??p;f??p;f??pe;f??p?;f??pa;f??pe,f?ap,"[0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666]",X?Y,XaY,f??p,f?ap,  f;  ?;- ?;+ a;  p,? neutraliser,X,X,f?ap,f?ap,Vmii---:;Vmip3p-:;Vmip-s-:;Vmpp---:;Vmmp-s-:;Vmmp-p-:;Vmsp-s-:;Vmsp-p-:;Vmn----:;Vmif---:;Vmis---:;Vmps---:,Nm:,X,Xage,,.a?,as2des
r40443,f128838,l201725,frapper,tlfnome,l201712,frappage,tlfnome,V,tlfnome,Nm,tlfnome,verbaction,,X,nouveau,suf,Xage,nouveau,simple,demonette1,as2des,nouveau,,,,,,,,,,,,,,,,,,,,,,.a?,f??p;f??p;f??p;f??p;f??p;f??p;f??p;f??p;f??pe;f??p?;f??pa;f??pe,f?ap,"[0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666]",X?Y,XaY,f??p,f?ap,  f;  ?;- ?;+ a;  p,? neutraliser,X,X,f?ap,f?ap,Vmii---:;Vmip3p-:;Vmip-s-:;Vmpp---:;Vmmp-s-:;Vmmp-p-:;Vmsp-s-:;Vmsp-p-:;Vmn----:;Vmif---:;Vmis---:;Vmps---:,Nm:,X,Xage,,.a?,as2des
r40445,f128838,l201725,frapper,tlfnome,l201724,frappement,tlfnome,V,tlfnome,Nm,tlfnome,morphonette,,X,nouveau,suf,Xment,nouveau,simple,demonette1,as2des,nouveau,,,,,,,,,,,,,,,,,,,,,,.m’,f??p;f??p;f??p;f??p;f??p;f??p;f??p;f??p;f??pe;f??p?;f??pa;f??pe,f?ap,"[0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666]",X?Y,XaY,f??p,f?ap,  f;  ?;- ?;+ a;  p,? neutraliser,X,X,f?ap,f?ap,Vmii---:;Vmip3p-:;Vmip-s-:;Vmpp---:;Vmmp-s-:;Vmmp-p-:;Vmsp-s-:;Vmsp-p-:;Vmn----:;Vmif---:;Vmis---:;Vmps---:,Nm:,X,Xment,,.m??,as2des
r40447,f128838,l201725,frapper,tlfnome,l201724,frappement,tlfnome,V,tlfnome,Nm,tlfnome,derif,,X,nouveau,suf,Xment,nouveau,simple,demonette1,as2des,nouveau,,,,,,,,,,,,,,,,,,,,,,.m’,f??p;f??p;f??p;f??p;f??p;f??p;f??p;f??p;f??pe;f??p?;f??pa;f??pe,f?ap,"[0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666]",X?Y,XaY,f??p,f?ap,  f;  ?;- ?;+ a;  p,? neutraliser,X,X,f?ap,f?ap,Vmii---:;Vmip3p-:;Vmip-s-:;Vmpp---:;Vmmp-s-:;Vmmp-p-:;Vmsp-s-:;Vmsp-p-:;Vmn----:;Vmif---:;Vmis---:;Vmps---:,Nm:,X,Xment,,.m??,as2des
r40449,f128838,l201725,frapper,tlfnome,l201724,frappement,tlfnome,V,tlfnome,Nm,tlfnome,verbaction,,X,nouveau,suf,Xment,nouveau,simple,demonette1,as2des,nouveau,,,,,,,,,,,,,,,,,,,,,,.m’,f??p;f??p;f??p;f??p;f??p;f??p;f??p;f??p;f??pe;f??p?;f??pa;f??pe,f?ap,"[0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666]",X?Y,XaY,f??p,f?ap,  f;  ?;- ?;+ a;  p,? neutraliser,X,X,f?ap,f?ap,Vmii---:;Vmip3p-:;Vmip-s-:;Vmpp---:;Vmmp-s-:;Vmmp-p-:;Vmsp-s-:;Vmsp-p-:;Vmn----:;Vmif---:;Vmis---:;Vmps---:,Nm:,X,Xment,,.m??,as2des
r40451,f128838,l201725,frapper,tlfnome,l201728,frappeur,tlfnome,V,tlfnome,Nm,tlfnome,morphonette,,X,nouveau,suf,Xeur,nouveau,simple,demonette1,as2des,nouveau,,,,,,,,,,,,,,,,,,,,,,.??,f??p;f??p;f??p;f??p;f??p;f??p;f??p;f??p;f??pe;f??p?;f??pa;f??pe,f?ap;f?ap,"[0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666]",X?Y,XaY,f??p,f?ap,  f;  ?;- ?;+ a;  p,? neutraliser,X,X,f?ap,f?ap,Vmii---:;Vmip3p-:;Vmip-s-:;Vmpp---:;Vmmp-s-:;Vmmp-p-:;Vmsp-s-:;Vmsp-p-:;Vmn----:;Vmif---:;Vmis---:;Vmps---:,Nm:,X,Xeur,,.??,as2des
r40453,f128838,l201725,frapper,tlfnome,l201728,frappeur,tlfnome,V,tlfnome,Nm,tlfnome,derif,,X,nouveau,suf,Xeur,nouveau,simple,demonette1,as2des,nouveau,,,,,,,,,,,,,,,,,,,,,,.??,f??p;f??p;f??p;f??p;f??p;f??p;f??p;f??p;f??pe;f??p?;f??pa;f??pe,f?ap;f?ap,"[0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666]",X?Y,XaY,f??p,f?ap,  f;  ?;- ?;+ a;  p,? neutraliser,X,X,f?ap,f?ap,Vmii---:;Vmip3p-:;Vmip-s-:;Vmpp---:;Vmmp-s-:;Vmmp-p-:;Vmsp-s-:;Vmsp-p-:;Vmn----:;Vmif---:;Vmis---:;Vmps---:,Nm:,X,Xeur,,.??,as2des
r200303,f140573,l201926,frein,dimoc,l201936,freiniste,dimoc,Nm,dimoc,Nf,dimoc,dimoc,,X,nouveau,suf,Xiste,nouveau,simple,nouveau,as2des,nouveau,,,,,,,,,,,,,,,,,,,,,,.ist,f???;f???,f??n;f??n,"[0.75, 0.75, 0.75, 0.75]",X?,Xn,f???,f??n,  f;  ?;  ?;- ?;+ n,l?gitime,X?,Xn,f???,f??n,Nm:,Nf:,X,Xiste,,.ist,as2des
