rid,fid,lid_1,graph_1,ori_graph_1,lid_2,graph_2,ori_graph_2,cat_1,ori_cat_1,cat_2,ori_cat_2,ori_cple,type_cstr_1,cstr_1,ori_cstr_1,type_cstr_2,cstr_2,ori_cstr_2,complexite,ori_complexite,orientation,ori_orientation,semty_1,ori_semty_1,semty_2,ori_semty_2,sous_semty_1,sous_semty_2,ori_sous_semty_1,ori_sous_semty_2,semtyrss_1,semtyrss_2,ori_semtyrss_1,ori_semtyrss_2,rel_sem_n_1,rel_sem_n_2,ori_relsem,def_conc,ori_def_conc,def_abs,ori_def_abs,commentaires,phon_aff_1,phon_aff_2,phon_stem_1,phon_stem_2,similarity,generalization_1,generalization_2,sim_phon_1,sim_phon_2,comparison,variation_type,generalization_1_mod,generalization_2_mod,sim_phon_1_mod,sim_phon_2_mod,labels_1,labels_2,cstr_1_mod,cstr_2_mod,phon_aff_1_mod,phon_aff_2_mod,orientation_mod
r187572,f83424,l157221,coloniaire,dimoc,l157231,colonie,dimoc,Adj,dimoc,Nf,dimoc,dimoc,suf,Xaire,nouveau,,X,nouveau,simple,nouveau,des2as,nouveau,,,,,,,,,,,,,,,,,,,,,.??,,k?l?nj;k?l?nj,k?l?ni;k?l?ni,"[0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334]",Xj,Xi,k?l?nj,k?l?ni,  k;  ?;  l;  ?;  n;- j;+ i,l?gitime,Xj,Xi,k?l?nj,k?l?ni,Adj:,Nf:,Xaire,X,.??,,des2as
r82783,f83424,l157202,colon,nouveau,l157231,colonie,denom,Nm,nouveau,Nf,denom,nouveau,,X,nouveau,suf,Xie,nouveau,simple,nouveau,as2des,nouveau,,,,,,,,,,,,,,,,,,,,,,.i,k?l??;k?l??,k?l?n;k?l?n,"[0.8, 0.8, 0.8, 0.8]",X?,Xn,k?l??,k?l?n,  k;  ?;  l;  ?;- ?;+ n,l?gitime,X?,Xn,k?l??,k?l?n,Nm:,Nf:,X,Xie,,.i,as2des
r109591,f83424,l157202,colon,derif,l157231,colonie,derif,Nm,derif,Nf,derif,derif,,X,nouveau,suf,Xie,nouveau,simple,nouveau,as2des,nouveau,,,,,,,,,,,,,,,,,,,,,,.i,k?l??;k?l??,k?l?n;k?l?n,"[0.8, 0.8, 0.8, 0.8]",X?,Xn,k?l??,k?l?n,  k;  ?;  l;  ?;- ?;+ n,l?gitime,X?,Xn,k?l??,k?l?n,Nm:,Nf:,X,Xie,,.i,as2des
r110330,f114708,l180535,d?colorer,derif,l163953,couleur,derif,V,derif,Nf,derif,derif,pre,d?1X,nouveau,,X,nouveau,simple,nouveau,des2as,nouveau,,,,,,,,,,,,,,,,,,,,,de.,,k?l??;k?l??;k?l??;k?l??;k?l??;k?l??;k?l??;k?l??;k?l??e;k?l???;k?l??a;k?l??e,kul??;kul??,"[0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.5454545454545454, 0.5454545454545454, 0.5454545454545454, 0.5454545454545454, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.5454545454545454, 0.5454545454545454, 0.5454545454545454, 0.5454545454545454]",X?Y?Z,XuY?Z,k?l??,kul??,  k;- ?;+ u;  l;- ?;+ ?;  ?,suppletion,,,k?l??,kul??,Vmii---:;Vmip3p-:;Vmip-s-:;Vmpp---:;Vmmp-s-:;Vmmp-p-:;Vmsp-s-:;Vmsp-p-:;Vmn----:;Vmif---:;Vmis---:;Vmps---:,Nf:,d?1X,X,de.,,des2as
r18669,f114959,l157785,commenter,tlfnome,l157784,commentatrice,tlfnome,V,tlfnome,Nf,tlfnome,morphonette,,X,nouveau,suf,Xrice,nouveau,simple,demonette1,as2des,nouveau,,,,,,,,,,,,,,,,,,,,,,.?is,k?m’t;k?m’t;k?m’t;k?m’t;k?m’t;k?m’t;k?m’t;k?m’t;k?m’te;k?m’t?;k?m’ta;k?m’te,k?m’tat;k?m’tat,"[0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.7692307692307693, 0.7692307692307693, 0.9230769230769231, 0.7692307692307693, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.7692307692307693, 0.7692307692307693, 0.9230769230769231, 0.7692307692307693]",X,Xt,k?m’ta,k?m’tat,  k;  ?;  m;  ’;  t;  a;+ t,? neutraliser,X,Xat,k?m??t,k?m??tat,Vmii---:;Vmip3p-:;Vmip-s-:;Vmpp---:;Vmmp-s-:;Vmmp-p-:;Vmsp-s-:;Vmsp-p-:;Vmn----:;Vmif---:;Vmis---:;Vmps---:,Nf:,X,Xrice,,.?is,as2des
r18671,f114959,l157785,commenter,tlfnome,l157784,commentatrice,tlfnome,V,tlfnome,Nf,tlfnome,derif,,X,nouveau,suf,Xrice,nouveau,simple,demonette1,as2des,nouveau,,,,,,,,,,,,,,,,,,,,,,.?is,k?m’t;k?m’t;k?m’t;k?m’t;k?m’t;k?m’t;k?m’t;k?m’t;k?m’te;k?m’t?;k?m’ta;k?m’te,k?m’tat;k?m’tat,"[0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.7692307692307693, 0.7692307692307693, 0.9230769230769231, 0.7692307692307693, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.7692307692307693, 0.7692307692307693, 0.9230769230769231, 0.7692307692307693]",X,Xt,k?m’ta,k?m’tat,  k;  ?;  m;  ’;  t;  a;+ t,? neutraliser,X,Xat,k?m??t,k?m??tat,Vmii---:;Vmip3p-:;Vmip-s-:;Vmpp---:;Vmmp-s-:;Vmmp-p-:;Vmsp-s-:;Vmsp-p-:;Vmn----:;Vmif---:;Vmis---:;Vmps---:,Nf:,X,Xrice,,.?is,as2des
r92733,f114974,l157829,comminer,denom,l157828,comminatoire,denom,V,denom,Adj,denom,denom,,X,denom,suf,Xoire,denom,simple,nouveau,as2des,nouveau,,,,,,,,,,,,,,,,,,,,,,.wa?,k?min;k?min;k?min;k?min;k?min;k?min;k?min;k?min;k?mine;k?min?;k?mina;k?mine,k?minat;k?minat,"[0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.7692307692307693, 0.7692307692307693, 0.9230769230769231, 0.7692307692307693, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.7692307692307693, 0.7692307692307693, 0.9230769230769231, 0.7692307692307693]",X,Xt,k?mina,k?minat,  k;  ?;  m;  i;  n;  a;+ t,? neutraliser,X,Xat,k?min,k?minat,Vmii---:;Vmip3p-:;Vmip-s-:;Vmpp---:;Vmmp-s-:;Vmmp-p-:;Vmsp-s-:;Vmsp-p-:;Vmn----:;Vmif---:;Vmis---:;Vmps---:,Adj:,X,Xoire,,.wa?,as2des
r86048,f115037,l157954,communicationnel,denom,l157953,communication,denom,Adj,denom,Nf,denom,denom,suf,Xel,denom,,X,denom,simple,nouveau,des2as,nouveau,,,,,,,,,,,,,,,,,,,,,.?l,,k?mynikasj?n;k?mynikasj?n;k?mynikasj?n;k?mynikasj?n,k?mynikasj??;k?mynikasj??,"[0.9166666666666666, 0.9166666666666666, 0.9166666666666666, 0.9166666666666666, 0.9166666666666666, 0.9166666666666666, 0.9166666666666666, 0.9166666666666666]",Xn,X?,k?mynikasj?n,k?mynikasj??,  k;  ?;  m;  y;  n;  i;  k;  a;  s;  j;  ?;- n;+ ?,l?gitime,Xn,X?,k?mynikasj?n,k?mynikasj??,Adj:,Nf:,Xel,X,.?l,,des2as
r18729,f115037,l157965,communiquer,tlfnome,l157951,communicateur,tlfnome,V,tlfnome,Nm,tlfnome,morphonette,,X,nouveau,suf,Xeur,nouveau,simple,demonette1,as2des,nouveau,,,,,,,,,,,,,,,,,,,,,,.??,k?mynik;k?mynik;k?mynik;k?mynik;k?mynik;k?mynik;k?mynik;k?mynik;k?mynike;k?mynik?;k?mynika;k?mynike,k?mynikat;k?mynikat,"[0.875, 0.875, 0.875, 0.875, 0.875, 0.875, 0.875, 0.875, 0.8235294117647058, 0.8235294117647058, 0.9411764705882353, 0.8235294117647058, 0.875, 0.875, 0.875, 0.875, 0.875, 0.875, 0.875, 0.875, 0.8235294117647058, 0.8235294117647058, 0.9411764705882353, 0.8235294117647058]",X,Xt,k?mynika,k?mynikat,  k;  ?;  m;  y;  n;  i;  k;  a;+ t,? neutraliser,X,Xat,k?mynik,k?mynikat,Vmii---:;Vmip3p-:;Vmip-s-:;Vmpp---:;Vmmp-s-:;Vmmp-p-:;Vmsp-s-:;Vmsp-p-:;Vmn----:;Vmif---:;Vmis---:;Vmps---:,Nm:,X,Xeur,,.??,as2des
r18731,f115037,l157965,communiquer,tlfnome,l157951,communicateur,tlfnome,V,tlfnome,Nm,tlfnome,derif,,X,nouveau,suf,Xeur,nouveau,simple,demonette1,as2des,nouveau,,,,,,,,,,,,,,,,,,,,,,.??,k?mynik;k?mynik;k?mynik;k?mynik;k?mynik;k?mynik;k?mynik;k?mynik;k?mynike;k?mynik?;k?mynika;k?mynike,k?mynikat;k?mynikat,"[0.875, 0.875, 0.875, 0.875, 0.875, 0.875, 0.875, 0.875, 0.8235294117647058, 0.8235294117647058, 0.9411764705882353, 0.8235294117647058, 0.875, 0.875, 0.875, 0.875, 0.875, 0.875, 0.875, 0.875, 0.8235294117647058, 0.8235294117647058, 0.9411764705882353, 0.8235294117647058]",X,Xt,k?mynika,k?mynikat,  k;  ?;  m;  y;  n;  i;  k;  a;+ t,? neutraliser,X,Xat,k?mynik,k?mynikat,Vmii---:;Vmip3p-:;Vmip-s-:;Vmpp---:;Vmmp-s-:;Vmmp-p-:;Vmsp-s-:;Vmsp-p-:;Vmn----:;Vmif---:;Vmis---:;Vmps---:,Nm:,X,Xeur,,.??,as2des
r86049,f115037,l157953,communication,denom,l157954,communicationnel,denom,Nf,denom,Adj,denom,denom,,X,denom,suf,Xel,denom,simple,nouveau,as2des,nouveau,,,,,,,,,,,,,,,,,,,,,,.?l,k?mynikasj??;k?mynikasj??,k?mynikasj?n;k?mynikasj?n;k?mynikasj?n;k?mynikasj?n,"[0.9166666666666666, 0.9166666666666666, 0.9166666666666666, 0.9166666666666666, 0.9166666666666666, 0.9166666666666666, 0.9166666666666666, 0.9166666666666666]",X?,Xn,k?mynikasj??,k?mynikasj?n,  k;  ?;  m;  y;  n;  i;  k;  a;  s;  j;  ?;- ?;+ n,l?gitime,X?,Xn,k?mynikasj??,k?mynikasj?n,Nf:,Adj:,X,Xel,,.?l,as2des
r18775,f178419,l157986,commuter,tlfnome,l157985,commutatrice,tlfnome,V,tlfnome,Nf,tlfnome,morphonette,,X,nouveau,suf,Xrice,nouveau,simple,demonette1,as2des,nouveau,,,,,,,,,,,,,,,,,,,,,,.?is,k?myt;k?myt;k?myt;k?myt;k?myt;k?myt;k?myt;k?myt;k?myte;k?myt?;k?myta;k?myte,k?mytat;k?mytat,"[0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.7692307692307693, 0.7692307692307693, 0.9230769230769231, 0.7692307692307693, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.7692307692307693, 0.7692307692307693, 0.9230769230769231, 0.7692307692307693]",X,Xt,k?myta,k?mytat,  k;  ?;  m;  y;  t;  a;+ t,? neutraliser,X,Xat,k?myt,k?mytat,Vmii---:;Vmip3p-:;Vmip-s-:;Vmpp---:;Vmmp-s-:;Vmmp-p-:;Vmsp-s-:;Vmsp-p-:;Vmn----:;Vmif---:;Vmis---:;Vmps---:,Nf:,X,Xrice,,.?is,as2des
r18777,f178419,l157986,commuter,tlfnome,l157985,commutatrice,tlfnome,V,tlfnome,Nf,tlfnome,derif,,X,nouveau,suf,Xrice,nouveau,simple,demonette1,as2des,nouveau,,,,,,,,,,,,,,,,,,,,,,.?is,k?myt;k?myt;k?myt;k?myt;k?myt;k?myt;k?myt;k?myt;k?myte;k?myt?;k?myta;k?myte,k?mytat;k?mytat,"[0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.7692307692307693, 0.7692307692307693, 0.9230769230769231, 0.7692307692307693, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.7692307692307693, 0.7692307692307693, 0.9230769230769231, 0.7692307692307693]",X,Xt,k?myta,k?mytat,  k;  ?;  m;  y;  t;  a;+ t,? neutraliser,X,Xat,k?myt,k?mytat,Vmii---:;Vmip3p-:;Vmip-s-:;Vmpp---:;Vmmp-s-:;Vmmp-p-:;Vmsp-s-:;Vmsp-p-:;Vmn----:;Vmif---:;Vmis---:;Vmps---:,Nf:,X,Xrice,,.?is,as2des
r18763,f178419,l157986,commuter,tlfnome,l157981,commutateur,tlfnome,V,tlfnome,Nm,tlfnome,morphonette,,X,nouveau,suf,Xeur,nouveau,simple,demonette1,as2des,nouveau,,,,,,,,,,,,,,,,,,,,,,.??,k?myt;k?myt;k?myt;k?myt;k?myt;k?myt;k?myt;k?myt;k?myte;k?myt?;k?myta;k?myte,k?mytat;k?mytat,"[0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.7692307692307693, 0.7692307692307693, 0.9230769230769231, 0.7692307692307693, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.7692307692307693, 0.7692307692307693, 0.9230769230769231, 0.7692307692307693]",X,Xt,k?myta,k?mytat,  k;  ?;  m;  y;  t;  a;+ t,? neutraliser,X,Xat,k?myt,k?mytat,Vmii---:;Vmip3p-:;Vmip-s-:;Vmpp---:;Vmmp-s-:;Vmmp-p-:;Vmsp-s-:;Vmsp-p-:;Vmn----:;Vmif---:;Vmis---:;Vmps---:,Nm:,X,Xeur,,.??,as2des
r18765,f178419,l157986,commuter,tlfnome,l157981,commutateur,tlfnome,V,tlfnome,Nm,tlfnome,derif,,X,nouveau,suf,Xeur,nouveau,simple,demonette1,as2des,nouveau,,,,,,,,,,,,,,,,,,,,,,.??,k?myt;k?myt;k?myt;k?myt;k?myt;k?myt;k?myt;k?myt;k?myte;k?myt?;k?myta;k?myte,k?mytat;k?mytat,"[0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.7692307692307693, 0.7692307692307693, 0.9230769230769231, 0.7692307692307693, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.7692307692307693, 0.7692307692307693, 0.9230769230769231, 0.7692307692307693]",X,Xt,k?myta,k?mytat,  k;  ?;  m;  y;  t;  a;+ t,? neutraliser,X,Xat,k?myt,k?mytat,Vmii---:;Vmip3p-:;Vmip-s-:;Vmpp---:;Vmmp-s-:;Vmmp-p-:;Vmsp-s-:;Vmsp-p-:;Vmn----:;Vmif---:;Vmis---:;Vmps---:,Nm:,X,Xeur,,.??,as2des
r18797,f115096,l158071,comparer,tlfnome,l158062,comparateur,tlfnome,V,tlfnome,Nm,tlfnome,derif,,X,nouveau,suf,Xeur,nouveau,simple,demonette1,as2des,nouveau,,,,,,,,,,,,,,,,,,,,,,.??,k??pa?;k??pa?;k??pa?;k??pa?;k??pa?;k??pa?;k??pa?;k??pa?;k??pa?e;k??pa??;k??pa?a;k??pa?e,k??pa?at;k??pa?at,"[0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8, 0.8, 0.9333333333333333, 0.8, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8, 0.8, 0.9333333333333333, 0.8]",X,Xt,k??pa?a,k??pa?at,  k;  ?;  ?;  p;  a;  ?;  a;+ t,? neutraliser,X,Xat,k??pa?,k??pa?at,Vmii---:;Vmip3p-:;Vmip-s-:;Vmpp---:;Vmmp-s-:;Vmmp-p-:;Vmsp-s-:;Vmsp-p-:;Vmn----:;Vmif---:;Vmis---:;Vmps---:,Nm:,X,Xeur,,.??,as2des
r103158,f115096,l158053,comparabilit?,derif,l158054,comparable,derif,Nf,derif,Adj,derif,derif,suf,Xit?,nouveau,,X,nouveau,simple,nouveau,des2as,nouveau,,,,,,,,,,,,,,,,,,,,,.ite,,k??pa?abil;k??pa?abil,k??pa?abl;k??pa?abl,"[0.9473684210526315, 0.9473684210526315, 0.9473684210526315, 0.9473684210526315]",XiY,XY,k??pa?abil,k??pa?abl,  k;  ?;  ?;  p;  a;  ?;  a;  b;- i;  l,l?gitime,XiY,XY,k??pa?abil,k??pa?abl,Nf:,Adj:,Xit?,X,.ite,,des2as
r208364,f115096,l158053,comparabilit?,mordan,l158054,comparable,mordan,Nf,nouveau,Adj,nouveau,mordan,suf,Xit?,mordan,,X,mordan,simple,nouveau,des2as,nouveau,,,,,,,,,,,,,,,,,,,,,.ite,,k??pa?abil;k??pa?abil,k??pa?abl;k??pa?abl,"[0.9473684210526315, 0.9473684210526315, 0.9473684210526315, 0.9473684210526315]",XiY,XY,k??pa?abil,k??pa?abl,  k;  ?;  ?;  p;  a;  ?;  a;  b;- i;  l,l?gitime,XiY,XY,k??pa?abil,k??pa?abl,Nf:,Adj:,Xit?,X,.ite,,des2as
r18847,f115122,l158128,compenser,tlfnome,l158122,compensateur,tlfnome,V,tlfnome,Nm,tlfnome,derif,,X,nouveau,suf,Xeur,nouveau,simple,demonette1,as2des,nouveau,,,,,,,,,,,,,,,,,,,,,,.??,k??p’s;k??p’s;k??p’s;k??p’s;k??p’s;k??p’s;k??p’s;k??p’s;k??p’se;k??p’s?;k??p’sa;k??p’se,k??p’sat;k??p’sat,"[0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8, 0.8, 0.9333333333333333, 0.8, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8, 0.8, 0.9333333333333333, 0.8]",X,Xt,k??p’sa,k??p’sat,  k;  ?;  ?;  p;  ’;  s;  a;+ t,? neutraliser,X,Xat,k??p??s,k??p??sat,Vmii---:;Vmip3p-:;Vmip-s-:;Vmpp---:;Vmmp-s-:;Vmmp-p-:;Vmsp-s-:;Vmsp-p-:;Vmn----:;Vmif---:;Vmis---:;Vmps---:,Nm:,X,Xeur,,.??,as2des
r198908,f115122,l158125,compensationniste,dimoc,l158124,compensation,dimoc,Nm,dimoc,Nf,dimoc,dimoc,suf,Xiste,nouveau,,X,nouveau,simple,nouveau,des2as,nouveau,,,,,,,,,,,,,,,,,,,,,.ist,,k??p’sasj?n,k??p’sasj??;k??p’sasj??,"[0.9090909090909091, 0.9090909090909091]",Xn,X?,k??p’sasj?n,k??p’sasj??,  k;  ?;  ?;  p;  ’;  s;  a;  s;  j;  ?;- n;+ ?,l?gitime,Xn,X?,k??p??sasj?n,k??p??sasj??,Nm:,Nf:,Xiste,X,.ist,,des2as
r92923,f115122,l158128,compenser,denom,l158126,compensatoire,denom,V,denom,Adj,denom,denom,,X,denom,suf,Xoire,denom,simple,nouveau,as2des,nouveau,,,,,,,,,,,,,,,,,,,,,,.wa?,k??p’s;k??p’s;k??p’s;k??p’s;k??p’s;k??p’s;k??p’s;k??p’s;k??p’se;k??p’s?;k??p’sa;k??p’se,k??p’sat;k??p’sat,"[0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8, 0.8, 0.9333333333333333, 0.8, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8, 0.8, 0.9333333333333333, 0.8]",X,Xt,k??p’sa,k??p’sat,  k;  ?;  ?;  p;  ’;  s;  a;+ t,? neutraliser,X,Xat,k??p??s,k??p??sat,Vmii---:;Vmip3p-:;Vmip-s-:;Vmpp---:;Vmmp-s-:;Vmmp-p-:;Vmsp-s-:;Vmsp-p-:;Vmn----:;Vmif---:;Vmis---:;Vmps---:,Adj:,X,Xoire,,.wa?,as2des
r198909,f115122,l158124,compensation,dimoc,l158125,compensationniste,dimoc,Nf,dimoc,Nm,dimoc,dimoc,,X,nouveau,suf,Xiste,nouveau,simple,nouveau,as2des,nouveau,,,,,,,,,,,,,,,,,,,,,,.ist,k??p’sasj??;k??p’sasj??,k??p’sasj?n,"[0.9090909090909091, 0.9090909090909091]",X?,Xn,k??p’sasj??,k??p’sasj?n,  k;  ?;  ?;  p;  ’;  s;  a;  s;  j;  ?;- ?;+ n,l?gitime,X?,Xn,k??p??sasj??,k??p??sasj?n,Nf:,Nm:,X,Xiste,,.ist,as2des
r18895,f115128,l158145,compiler,tlfnome,l158143,compilatrice,tlfnome,V,tlfnome,Nf,tlfnome,morphonette,,X,nouveau,suf,Xrice,nouveau,simple,demonette1,as2des,nouveau,,,,,,,,,,,,,,,,,,,,,,.?is,k??pil;k??pil;k??pil;k??pil;k??pil;k??pil;k??pil;k??pil;k??pile;k??pil?;k??pila;k??pile,k??pilat;k??pilat,"[0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8, 0.8, 0.9333333333333333, 0.8, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8, 0.8, 0.9333333333333333, 0.8]",X,Xt,k??pila,k??pilat,  k;  ?;  ?;  p;  i;  l;  a;+ t,? neutraliser,X,Xat,k??pil,k??pilat,Vmii---:;Vmip3p-:;Vmip-s-:;Vmpp---:;Vmmp-s-:;Vmmp-p-:;Vmsp-s-:;Vmsp-p-:;Vmn----:;Vmif---:;Vmis---:;Vmps---:,Nf:,X,Xrice,,.?is,as2des
r18897,f115128,l158145,compiler,tlfnome,l158143,compilatrice,tlfnome,V,tlfnome,Nf,tlfnome,derif,,X,nouveau,suf,Xrice,nouveau,simple,demonette1,as2des,nouveau,,,,,,,,,,,,,,,,,,,,,,.?is,k??pil;k??pil;k??pil;k??pil;k??pil;k??pil;k??pil;k??pil;k??pile;k??pil?;k??pila;k??pile,k??pilat;k??pilat,"[0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8, 0.8, 0.9333333333333333, 0.8, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8, 0.8, 0.9333333333333333, 0.8]",X,Xt,k??pila,k??pilat,  k;  ?;  ?;  p;  i;  l;  a;+ t,? neutraliser,X,Xat,k??pil,k??pilat,Vmii---:;Vmip3p-:;Vmip-s-:;Vmpp---:;Vmmp-s-:;Vmmp-p-:;Vmsp-s-:;Vmsp-p-:;Vmn----:;Vmif---:;Vmis---:;Vmps---:,Nf:,X,Xrice,,.?is,as2des
r18883,f115128,l158145,compiler,tlfnome,l158140,compilateur,tlfnome,V,tlfnome,Nm,tlfnome,morphonette,,X,nouveau,suf,Xeur,nouveau,simple,demonette1,as2des,nouveau,,,,,,,,,,,,,,,,,,,,,,.??,k??pil;k??pil;k??pil;k??pil;k??pil;k??pil;k??pil;k??pil;k??pile;k??pil?;k??pila;k??pile,k??pilat;k??pilat,"[0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8, 0.8, 0.9333333333333333, 0.8, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8, 0.8, 0.9333333333333333, 0.8]",X,Xt,k??pila,k??pilat,  k;  ?;  ?;  p;  i;  l;  a;+ t,? neutraliser,X,Xat,k??pil,k??pilat,Vmii---:;Vmip3p-:;Vmip-s-:;Vmpp---:;Vmmp-s-:;Vmmp-p-:;Vmsp-s-:;Vmsp-p-:;Vmn----:;Vmif---:;Vmis---:;Vmps---:,Nm:,X,Xeur,,.??,as2des
r18885,f115128,l158145,compiler,tlfnome,l158140,compilateur,tlfnome,V,tlfnome,Nm,tlfnome,derif,,X,nouveau,suf,Xeur,nouveau,simple,demonette1,as2des,nouveau,,,,,,,,,,,,,,,,,,,,,,.??,k??pil;k??pil;k??pil;k??pil;k??pil;k??pil;k??pil;k??pil;k??pile;k??pil?;k??pila;k??pile,k??pilat;k??pilat,"[0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8, 0.8, 0.9333333333333333, 0.8, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8, 0.8, 0.9333333333333333, 0.8]",X,Xt,k??pila,k??pilat,  k;  ?;  ?;  p;  i;  l;  a;+ t,? neutraliser,X,Xat,k??pil,k??pilat,Vmii---:;Vmip3p-:;Vmip-s-:;Vmpp---:;Vmmp-s-:;Vmmp-p-:;Vmsp-s-:;Vmsp-p-:;Vmn----:;Vmif---:;Vmis---:;Vmps---:,Nm:,X,Xeur,,.??,as2des
r191144,f102489,l158279,comportementalisme,dimoc,l158277,comportement,dimoc,Nm,dimoc,Nm,dimoc,dimoc,suf,Xalisme,nouveau,,X,nouveau,motiv-sem,nouveau,des2as,nouveau,,,,,,,,,,,,,,,,,,,,,.alism,,k??p??t?m’t;k??p??t?m’t,k??p??t?m’;k??p??t?m’,"[0.9523809523809523, 0.9523809523809523, 0.9523809523809523, 0.9523809523809523]",Xt,X,k??p??t?m’t,k??p??t?m’,  k;  ?;  ?;  p;  ?;  ?;  t;  ?;  m;  ’;- t,l?gitime,Xt,X,k??p??t?m??t,k??p??t?m??,Nm:,Nm:,Xalisme,X,.alism,,des2as
